Priority,Enabled,Status,SourceMod,Category,Bucket,MatchedLocal,Score,ArchivePath,ArchiveScore
373,+,Present,Just Blood - Dirt and Blood Lite,CBBE 3BA HIMBO,cbbe-3ba-himbo,Just Blood - Dirt and Blood Lite,1.000,,
374,+,Present,Reflective ENB Eyebrows Fix,CBBE 3BA HIMBO,graphics,Reflective ENB Eyebrows Fix,1.000,,
375,+,Present,More High Poly Head Eyebrow Patch Hub,CBBE 3BA HIMBO,bugfix-utility,More High Poly Head Eyebrow Patch Hub,1.000,,
376,+,Present,Kalilies Brows,CBBE 3BA HIMBO,cbbe-3ba-himbo,Kalilies Brows,1.000,,
377,+,Present,The Eyes of Beauty - Vampire Eyes SE,CBBE 3BA HIMBO,cbbe-3ba-himbo,The Eyes of Beauty - Vampire Eyes SE,1.000,,
378,+,Present,Kala's Vampire Eyes,CBBE 3BA HIMBO,cbbe-3ba-himbo,Kala's Vampire Eyes,1.000,,
379,+,Present,Kala's Eyes,CBBE 3BA HIMBO,cbbe-3ba-himbo,Kala's Eyes,1.000,,
380,+,Present,The Eyes Of Beauty SSE,CBBE 3BA HIMBO,cbbe-3ba-himbo,The Eyes Of Beauty SSE,1.000,,
381,+,Present,OBody Next Generation - Settings Loader,CBBE 3BA HIMBO,cbbe-3ba-himbo,OBody Next Generation - Settings Loader,1.000,,
382,+,Present,OBody NG,CBBE 3BA HIMBO,cbbe-3ba-himbo,OBody NG,1.000,,
383,+,Present,Expressive Facial Animation -Female Edition-,CBBE 3BA HIMBO,animations,Expressive Facial Animation -Female Edition-,1.000,,
384,+,Present,Expressive Facial Animation -Male Edition-,CBBE 3BA HIMBO,animations,Expressive Facial Animation -Male Edition-,1.000,,
385,+,Present,Citizens of Tamriel Visual Overhaul - Salt and Wind,CBBE 3BA HIMBO,cbbe-3ba-himbo,Citizens of Tamriel Visual Overhaul - Salt and Wind,1.000,,
386,+,Present,[Dint999] BDOR Hairs,CBBE 3BA HIMBO,cbbe-3ba-himbo,[Dint999] BDOR Hairs,1.000,,
387,+,Present,[Dint] HairPack02,CBBE 3BA HIMBO,cbbe-3ba-himbo,[Dint] HairPack02,1.000,,
388,+,Present,Chooey's KS Hairdos Retexture - HDT-SMP Addon,CBBE 3BA HIMBO,graphics,Chooey's KS Hairdos Retexture - HDT-SMP Addon,1.000,,
389,+,Present,KS Hairdos - HDT SMP (Physics),CBBE 3BA HIMBO,cbbe-3ba-himbo,KS Hairdos - HDT SMP (Physics),1.000,,
390,+,Present,Chooey's KS Hairdos Retexture,CBBE 3BA HIMBO,graphics,Chooey's KS Hairdos Retexture,1.000,,
391,+,Present,KS Hairdos SSE,CBBE 3BA HIMBO,cbbe-3ba-himbo,KS Hairdos SSE,1.000,,
392,+,Present,Conditional Expressions Extended,CBBE 3BA HIMBO,cbbe-3ba-himbo,Conditional Expressions Extended,1.000,,
393,+,Present,TK Children,CBBE 3BA HIMBO,cbbe-3ba-himbo,TK Children,1.000,,
394,+,Present,Vanilla hair - Salt and Wind,CBBE 3BA HIMBO,cbbe-3ba-himbo,Vanilla hair - Salt and Wind,1.000,,
395,+,Present,High Poly Vanilla Hair,CBBE 3BA HIMBO,cbbe-3ba-himbo,High Poly Vanilla Hair,1.000,,
396,+,Present,Vanilla hair remake,CBBE 3BA HIMBO,cbbe-3ba-himbo,Vanilla hair remake,1.000,,
397,+,Present,High Poly Head UV Stretch Fix (NECK SEAM FIXED),CBBE 3BA HIMBO,bugfix-utility,High Poly Head UV Stretch Fix (NECK SEAM FIXED),1.000,,
398,+,Present,High Poly Head SE,CBBE 3BA HIMBO,cbbe-3ba-himbo,High Poly Head SE,1.000,,
399,+,Present,Flawn's Vanilla Argonians Redux,CBBE 3BA HIMBO,cbbe-3ba-himbo,Flawn's Vanilla Argonians Redux,1.000,,
400,+,Present,BodySlide and Outfit Studio,CBBE 3BA HIMBO,armor-clothing,BodySlide and Outfit Studio,1.000,,
401,+,Present,Expressive Facegen Morphs SE,CBBE 3BA HIMBO,cbbe-3ba-himbo,Expressive Facegen Morphs SE,1.000,,
402,+,Present,GLENMORIL - NPC Overhaul,Character Visual,character-visual,GLENMORIL - NPC Overhaul,1.000,,
403,+,Present,Chanterelle- Botox Patch,Character Visual,bugfix-utility,Chanterelle- Botox Patch,1.000,,
404,+,Present,High Poly NPC Overhaul - The Great Town of Shor's Stone,Character Visual,character-visual,High Poly NPC Overhaul - The Great Town of Shor's Stone,1.000,,
405,+,Present,BiR's Remiel Replacer,Character Visual,character-visual,BiR's Remiel Replacer,1.000,,
406,+,Present,Mythos Pandorable esp-fe replacer - ezPG update,Character Visual,animations,Mythos Pandorable esp-fe replacer - ezPG update,1.000,,
407,+,Present,Majestic Auri - A visual replacer,Character Visual,character-visual,Majestic Auri - A visual replacer,1.000,,
408,+,Present,Meridia - A High Poly Follower and or Replacer,Character Visual,quests-followers,Meridia - A High Poly Follower and or Replacer,1.000,,
409,+,Present,VIGILANT - NPC Overhaul,Character Visual,character-visual,VIGILANT - NPC Overhaul,1.000,,
410,+,Present,Femmequins - Female Mannequins SE,Character Visual,ui,Femmequins - Female Mannequins SE,1.000,,
411,+,Present,Umbral Embrace - A Nocturnal Replacer,Character Visual,character-visual,Umbral Embrace - A Nocturnal Replacer,1.000,,
412,+,Present,Dovahnique's High Poly Kaidan Replacer - With Optional Full Body - ESPFE,Character Visual,character-visual,Dovahnique's High Poly Kaidan Replacer - With Optional Full Body - ESPFE,1.000,,
413,+,Present,Bosmer NPCs have Antlers,Character Visual,character-visual,Bosmer NPCs have Antlers,1.000,,
414,+,Present,Hood Plus Hair for Serana Re-Imagined,Character Visual,character-visual,Hood Plus Hair for Serana Re-Imagined,1.000,,
415,+,Present,Serana Re-Imagined,Character Visual,character-visual,Serana Re-Imagined,1.000,,
416,+,Present,High-Poly Inigo Replacer,Character Visual,character-visual,High-Poly Inigo Replacer,1.000,,
417,+,Present,Elisif replacerToccata,Character Visual,character-visual,Elisif replacerToccata,1.000,,
418,+,Present,Cosmos Lucien Replacer,Character Visual,character-visual,Cosmos Lucien Replacer,1.000,,
419,+,Present,Daughters of Malacath,Character Visual,character-visual,Daughters of Malacath,1.000,,
420,+,Present,Bijin AIO De-Standalone,Character Visual,character-visual,Bijin AIO De-Standalone,1.000,,
421,+,Present,Bijin Wives SE,Character Visual,character-visual,Bijin Wives SE,1.000,,
422,+,Present,Bijin NPCs SE,Character Visual,character-visual,Bijin NPCs SE,1.000,,
423,+,Present,Bijin Warmaidens SE,Character Visual,character-visual,Bijin Warmaidens SE,1.000,,
424,+,Present,Pandorable's NPCs - Males 3,Character Visual,animations,Pandorable's NPCs - Males 3,1.000,,
425,+,Present,Pandorable's NPCs - Males 2,Character Visual,animations,Pandorable's NPCs - Males 3,1.000,,
426,+,Present,Pandorable's NPCs - Males,Character Visual,animations,Pandorable's NPCs - Males 3,1.000,,
427,+,Present,Pandorable's Mythos Replacer,Character Visual,animations,Pandorable's Mythos Replacer,1.000,,
428,+,Present,Citizens of Tamriel Visual Overhaul,Character Visual,character-visual,Citizens of Tamriel Visual Overhaul,1.000,,
429,+,Present,Interesting NPCs Visual Overhaul,Character Visual,character-visual,Interesting NPCs Visual Overhaul,1.000,,
430,+,Present,High Poly NPCs - Wyrmstooth and Beyond Reach,Character Visual,character-visual,High Poly NPCs - Wyrmstooth and Beyond Reach,1.000,,
431,+,Present,Pandorable's NPCs - Dragonborn,Character Visual,animations,Pandorable's NPCs - Dragonborn,1.000,,
432,+,Present,Pandorable's NPCs - Dawnguard,Character Visual,animations,Pandorable's NPCs - Dawnguard,1.000,,
433,+,Present,Pandorable's NPCs,Character Visual,animations,Pandorable's NPCs,1.000,,
434,+,Present,Kalilies NPCs,Character Visual,character-visual,Kalilies NPCs,1.000,,
435,+,Present,Pan's Nameless Vampires,Character Visual,character-visual,Pan's Nameless Vampires,1.000,,
436,+,Present,Pan's Nameless Hunters,Character Visual,character-visual,Pan's Nameless Hunters,1.000,,
437,+,Present,Pan's Nameless Witches,Character Visual,character-visual,Pan's Nameless Witches,1.000,,
438,+,Present,Lawless Bandits - Female NPC Overhaul (Botox),Character Visual,character-visual,Lawless Bandits - Female NPC Overhaul (Botox),1.000,,
439,+,Present,High Poly NPC Overhaul - Beyond Skyrim - BS Bruma,Character Visual,character-visual,High Poly NPC Overhaul - Beyond Skyrim - BS Bruma,1.000,,
440,+,Present,High Poly NPC Overhaul - Capital Whiterun Expansion,Character Visual,character-visual,High Poly NPC Overhaul - Capital Whiterun Expansion,1.000,,
441,+,Present,High Poly NPC Overhaul - Skyrim Special Edition 2.0 (All Vanilla NPCs),Character Visual,character-visual,High Poly NPC Overhaul - Skyrim Special Edition 2.0 (All Vanilla NPCs),1.000,,
442,+,Present,High Poly NPC Overhaul - Resources,Character Visual,character-visual,High Poly NPC Overhaul - Resources,1.000,,
443,+,Present,Botox for Skyrim - Salt and Wind retexture,Character Visual,graphics,Botox for Skyrim - Salt and Wind retexture,1.000,,
444,+,Present,Botoxed Creation Club AE,Character Visual,character-visual,Botoxed Creation Club AE,1.000,,
445,+,Present,Botox for Skyrim,Character Visual,character-visual,Botox for Skyrim,1.000,,
446,+,Present,High Quality Tintmasks for Vanilla NPCs - BSA,Character Visual,character-visual,High Quality Tintmasks for Vanilla NPCs - BSA,1.000,,
447,+,Present,Modest Elderly,Character Visual,character-visual,Modest Elderly,1.000,,
448,+,Present,Additional Seasonal Stuff,People Visual,people-visual,Additional Seasonal Stuff,1.000,,
449,+,Present,ICFur's 3D Tundra Scrubs,People Visual,people-visual,ICFur's 3D Tundra Scrubs,1.000,,
450,+,Present,Winter Unending,People Visual,people-visual,Winter Unending,1.000,,
451,+,Present,Softly Obscuring Snowfall,People Visual,people-visual,Softly Obscuring Snowfall,1.000,,
452,+,Present,Simple Snow Improvements - Snow Forts (BOS),People Visual,people-visual,Simple Snow Improvements - Snow Forts (BOS),1.000,,
453,+,Present,Simple Snow Improvements - Skyrim (BOS),People Visual,people-visual,Simple Snow Improvements - Skyrim (BOS),1.000,,
454,+,Present,Fall forest ferns for Seasons of Skyrim,People Visual,people-visual,Fall forest ferns for Seasons of Skyrim,1.000,,
455,+,Present,DynamicFootprintsSkse Skyland,People Visual,bugfix-utility,DynamicFootprintsSkse Skyland,1.000,,
456,+,Present,Dynamic Footprints Skse,People Visual,bugfix-utility,Dynamic Footprints Skse,1.000,,
457,+,Present,A Matter of Time HUD Clock Widget - Edit for Seasons,People Visual,ui,A Matter of Time HUD Clock Widget - Edit for Seasons,1.000,,
458,+,Present,Four Seasons - Faster Seasons of Skyrim,People Visual,people-visual,Four Seasons - Faster Seasons of Skyrim,1.000,,
459,+,Present,Time Format Changer,People Visual,people-visual,Time Format Changer,1.000,,
460,+,Present,Seasonal Weathers Framework - NAT-ENB III - 3.1.1C,People Visual,graphics,Seasonal Weathers Framework - NAT-ENB III - 3.1.1C,1.000,,
461,+,Present,Seasonal Weathers Framework - Seasons support for Weathers Mods,People Visual,bugfix-utility,Seasonal Weathers Framework - Seasons support for Weathers Mods,1.000,,
462,+,Present,Seasons of Skyrim - Remove Unwanted Grass (Like No Grassias),People Visual,people-visual,Seasons of Skyrim - Remove Unwanted Grass (Like No Grassias),1.000,,
463,+,Present,Shrubs of Snow - Seasons of Skyrim SKSE,People Visual,bugfix-utility,Shrubs of Snow - Seasons of Skyrim SKSE,1.000,,
464,+,Present,Simplicity of Seasons,People Visual,people-visual,Simplicity of Seasons,1.000,,
465,+,Present,Turn of the Seasons,People Visual,people-visual,Turn of the Seasons,1.000,,
466,+,Present,Seasons of Skyrim SKSE,People Visual,bugfix-utility,Seasons of Skyrim SKSE,1.000,,
467,+,Present,Mesh Glow Removal Project - Dwemer Metals Retexture SE,Seasons,graphics,Mesh Glow Removal Project - Dwemer Metals Retexture SE,1.000,,
468,+,Present,Mesh Glow Removal Project,Seasons,graphics,Mesh Glow Removal Project,1.000,,
469,+,Present,Apocrypha - ENB Light - Community Shader Light Limit Fix Light,Seasons,graphics,Apocrypha - ENB Light - Community Shader Light Limit Fix Light,1.000,,
470,+,Present,V.A.E.R. - Visual Animated Enchants Reborn,Seasons,seasons,V.A.E.R. - Visual Animated Enchants Reborn,1.000,,
471,+,Present,Elegant Candlelight,Seasons,seasons,Elegant Candlelight,1.000,,
472,+,Present,Kanjs - Nordic Puzzle Door Animated,Seasons,seasons,Kanjs - Nordic Puzzle Door Animated,1.000,,
473,+,Present,Heat shimmer fix for ENB,Seasons,graphics,Heat shimmer fix for ENB,1.000,,
474,+,Present,Dragon Breath VFX Edit,Seasons,seasons,Dragon Breath VFX Edit,1.000,,
475,+,Present,FYX - Sparks of Fire reacts to the Wind,Seasons,seasons,FYX - Sparks of Fire reacts to the Wind,1.000,,
476,+,Present,Rudy fix for Smoke,Seasons,bugfix-utility,Rudy fix for Smoke,1.000,,
477,+,Present,Word Wall Transparency Fix for ENB,Seasons,graphics,Word Wall Transparency Fix for ENB,1.000,,
478,+,Present,Lux - Riften of Riverie Patch,Seasons,bugfix-utility,Lux - Riften of Riverie Patch,1.000,,
479,+,Present,Lux Orbis (patch hub),Seasons,bugfix-utility,Lux Orbis (patch hub),1.000,,
480,+,Present,VIGILANT - Enb light chest Fix,Seasons,graphics,VIGILANT - Enb light chest Fix,1.000,,
481,+,Present,SpiderWIP,Seasons,seasons,SpiderWIP,1.000,,
482,+,Present,Misc Effects ENB Light,Seasons,graphics,Misc Effects ENB Light,1.000,,
483,+,Present,Alchemy Ingredients ENB Light,Seasons,graphics,Alchemy Ingredients ENB Light,1.000,,
484,+,Present,TB's Candle Flames Improver,Seasons,seasons,TB's Candle Flames Improver,1.000,,
485,+,Present,Rudy HQ - More lights for ENB - Daedric weapons,Seasons,graphics,Rudy HQ - More lights for ENB - Daedric weapons,1.000,,
486,+,Present,Rudy HQ - More Lights for ENB SE - Bthardamz,Seasons,graphics,Rudy HQ - More Lights for ENB SE - Bthardamz,1.000,,
487,+,Present,Rudy HQ - More Lights for ENB SE - Deathbells and Nirnroots,Seasons,graphics,Rudy HQ - More Lights for ENB SE - Deathbells and Nirnroots,1.000,,
488,+,Present,NAT ENB Bizarre Shadow Fix,Seasons,graphics,NAT ENB Bizarre Shadow Fix,1.000,,
489,+,Present,ERM - Complex Material Textures Collection,Seasons,graphics,ERM - Complex Material Textures Collection,1.000,,
490,+,Present,ERM - Textures,Seasons,graphics,ERM - Textures,1.000,,
491,+,Present,Enhanced Rocks and Mountains - Complex Material and PBR,Seasons,seasons,Enhanced Rocks and Mountains - Complex Material and PBR,1.000,,
492,+,Present,NAT.ENB III - CENTRAL PATCHES,Seasons,graphics,NAT.ENB III - CENTRAL PATCHES,1.000,,
493,+,Present,NAT.ENB III - Natural and Atmospheric Tamriel ENB 3.1.1C,Seasons,graphics,NAT.ENB III - Natural and Atmospheric Tamriel ENB 3.1.1C,1.000,,
494,+,Present,Sigils of Shalidor,Seasons,seasons,Sigils of Shalidor,1.000,,
495,+,Present,Lux Orbis,Seasons,seasons,Lux Orbis,1.000,,
496,+,Present,Animated Forge Water,Seasons,graphics,Animated Forge Water,1.000,,
497,+,Present,Embers XD,Seasons,seasons,Embers XD,1.000,,
498,+,Present,Dwemer Metal Retexture SE - LUX Patch,Seasons,graphics,Dwemer Metal Retexture SE - LUX Patch,1.000,,
499,+,Present,Lux (patch hub),Seasons,bugfix-utility,Lux (patch hub),1.000,,
500,+,Present,Lux,Seasons,seasons,Lux,1.000,,
501,+,Present,Lux - Via (patch hub),Seasons,bugfix-utility,Lux - Via (patch hub),1.000,,
502,+,Present,Lux Via,Seasons,seasons,Lux Via,1.000,,
503,+,Present,Wyrmstooth Animated ENB Light,Seasons,graphics,Wyrmstooth Animated ENB Light,1.000,,
504,+,Present,Water for ENB,Seasons,graphics,Water for ENB,1.000,,
505,+,Present,Awesome Potions Simplified -ENB Lights,Seasons,graphics,Awesome Potions Simplified -ENB Lights,1.000,,
506,+,Present,Unique Barbas Retexture - Fluffworks and ENB Light Addon,Seasons,graphics,Unique Barbas Retexture - Fluffworks and ENB Light Addon,1.000,,
507,+,Present,Apothecary - Awesome Potions Simplified Patch,Seasons,bugfix-utility,Apothecary - Awesome Potions Simplified Patch,1.000,,
508,+,Present,Awesome Potions Simplified by Revoith,Seasons,seasons,Awesome Potions Simplified by Revoith,1.000,,
509,+,Present,Rudy HQ - More Lights for ENB SE - Chaurus Eggs and Sacs,Seasons,graphics,Rudy HQ - More Lights for ENB SE - Chaurus Eggs and Sacs,1.000,,
510,+,Present,Rudy HQ - More Lights for ENB SE - Soul Gems,Seasons,graphics,Rudy HQ - More Lights for ENB SE - Soul Gems,1.000,,
511,+,Present,Particle Lights for ENB - Nordic Ruins Candles,Seasons,ui,Particle Lights for ENB - Nordic Ruins Candles,1.000,,
512,+,Present,Particle Lights for ENB - Staff Enchanter,Seasons,graphics,Particle Lights for ENB - Staff Enchanter,1.000,,
513,+,Present,Particle Lights for ENB - Wisps - Witchlight,Seasons,graphics,Particle Lights for ENB - Wisps - Witchlight,1.000,,
514,+,Present,Particle Lights for ENB - Light Orbs - Motes,Seasons,graphics,Particle Lights for ENB - Light Orbs - Motes,1.000,,
515,+,Present,Particle Lights For ENB SE - Undead Creatures,Seasons,graphics,Particle Lights For ENB SE - Undead Creatures,1.000,,
516,+,Present,LeanWolfs BSW Rudy HQ More Lights for ENB Arrows Patch,Seasons,graphics,LeanWolfs BSW Rudy HQ More Lights for ENB Arrows Patch,1.000,,
517,+,Present,Rudy HQ - More Lights for ENB SE - Arrows,Seasons,graphics,Rudy HQ - More Lights for ENB SE - Arrows,1.000,,
518,+,Present,Rudy HQ - More Lights for ENB SE - Torchbugs and Moths,Seasons,graphics,Rudy HQ - More Lights for ENB SE - Torchbugs and Moths,1.000,,
519,+,Present,Particle Lights For ENB SE - Ingredients,Seasons,graphics,Particle Lights For ENB SE - Ingredients,1.000,,
520,+,Present,Particle Lights For ENB SE - Bugs in a Jar,Seasons,graphics,Particle Lights For ENB SE - Bugs in a Jar,1.000,,
521,+,Present,ENB Particle Lights - Dwemer Lanterns,Seasons,graphics,ENB Particle Lights - Dwemer Lanterns,1.000,,
522,+,Present,Dwemer Metal Retexture SE Mesh Patches,Seasons,graphics,Dwemer Metal Retexture SE Mesh Patches,1.000,,
523,+,Present,JS Dwemer Artifacts SE,Seasons,seasons,JS Dwemer Artifacts SE,1.000,,
524,+,Present,Dwemer Metal Retexture SE,Seasons,graphics,Dwemer Metal Retexture SE,1.000,,
525,+,Present,Particle Patch for ENB,Seasons,graphics,Particle Patch for ENB,1.000,,
526,+,Present,Val Serano,ENB Light,graphics,Val Serano,1.000,,
527,+,Present,GORE - Miscellaneous Patches,ENB Light,graphics,GORE - Miscellaneous Patches,1.000,,
528,+,Present,Gore - A Companion Mod,ENB Light,quests-followers,Gore - A Companion Mod,1.000,,
529,+,Present,Remiel-Custom Voiced Follower,ENB Light,quests-followers,Remiel-Custom Voiced Follower,1.000,,
530,+,Present,Menagerie - A Creation Club Pet Overhaul,ENB Light,graphics,Menagerie - A Creation Club Pet Overhaul,1.000,,
531,+,Present,Snazzy Items for Auri (Song of the Green),ENB Light,graphics,Snazzy Items for Auri (Song of the Green),1.000,,
532,+,Present,Song of the Green Auri Follower Inigo Banter Patch ESLified,ENB Light,quests-followers,Song of the Green Auri Follower Inigo Banter Patch ESLified,1.000,,
533,+,Present,Song of the Green Auri Follower Kaidan Banter Patch ESLified,ENB Light,quests-followers,Song of the Green Auri Follower Kaidan Banter Patch ESLified,1.000,,
534,+,Present,Song of the Green Auri Follower 3DNPCs Banter Patch ESLified,ENB Light,quests-followers,Song of the Green Auri Follower 3DNPCs Banter Patch ESLified,1.000,,
535,+,Present,Song of the Green (Auri Follower) Banter,ENB Light,quests-followers,Song of the Green (Auri Follower) Banter,1.000,,
536,+,Present,Song of the Green - Cities of the North,ENB Light,graphics,Song of the Green - Cities of the North,1.000,,
537,+,Present,Song of the Green (Auri Follower),ENB Light,quests-followers,Song of the Green (Auri Follower),1.000,,
538,+,Present,Unisex Empire,ENB Light,graphics,Unisex Empire,1.000,,
539,+,Present,Daegon - Apothecary Patch,ENB Light,graphics,Daegon - Apothecary Patch,1.000,,
540,+,Present,Daegon Legacy,ENB Light,graphics,Daegon Legacy,1.000,,
541,+,Present,Katana - Journey in the Shadows,ENB Light,graphics,Katana - Journey in the Shadows,1.000,,
542,+,Present,Immersive Kaidan Start - ElevenLabs Replacer,ENB Light,graphics,Immersive Kaidan Start - ElevenLabs Replacer,1.000,,
543,+,Present,Immersive Kaidan Start,ENB Light,graphics,Immersive Kaidan Start,1.000,,
544,+,Present,Kaidan 2 Extended Edition ADDON Voice fixes new dialogue and DLC and Inigo Interactions,ENB Light,quests-followers,Kaidan 2 Extended Edition ADDON Voice fixes new dialogue and DLC and Inigo Interactions,1.000,,
545,+,Present,Interesting NPCs Infinite Loading Screen Freeze Fix - Snapleg Cave - Rift Watchtower,ENB Light,graphics,Interesting NPCs Infinite Loading Screen Freeze Fix - Snapleg Cave - Rift Watchtower,1.000,,
546,+,Present,Kaidan 2,ENB Light,graphics,Kaidan 2,1.000,,
547,+,Present,Xelzaz Sirenroot Patch,ENB Light,adult-frameworks,Xelzaz Sirenroot Patch,1.000,,
548,+,Present,Xelzaz Follower Wyrmstooth Patch,ENB Light,adult-frameworks,Xelzaz Follower Wyrmstooth Patch,1.000,,
549,+,Present,Xelzaz Anniversary Edition Plugin 1.12.0,ENB Light,adult-frameworks,Xelzaz Anniversary Edition Plugin 1.12.0,1.000,,
550,+,Present,Xelzaz - Custom Fully Voiced Argonian Telvanni Follower,ENB Light,adult-frameworks,Xelzaz - Custom Fully Voiced Argonian Telvanni Follower,1.000,,
551,+,Present,Misty Skye - Sexy Sexcalibur,ENB Light,graphics,Misty Skye - Sexy Sexcalibur,1.000,,
552,+,Present,The Erotic Adventures of Misty Skye,ENB Light,graphics,The Erotic Adventures of Misty Skye,1.000,,
553,+,Present,Lucien - Anniversary Edition - All-In-One Creation Club Patch,ENB Light,graphics,Lucien - Anniversary Edition - All-In-One Creation Club Patch,1.000,,
554,+,Present,Lucien - Immersive Fully Voiced Male Follower,ENB Light,quests-followers,Lucien - Immersive Fully Voiced Male Follower,1.000,,
555,+,Present,Mythos SE,ENB Light,graphics,Mythos SE,1.000,,
556,+,Present,Inigo - Bloodchill Manor patch,ENB Light,graphics,Inigo - Bloodchill Manor patch,1.000,,
557,+,Present,Mr. Dragonfly ENB Particle Light,ENB Light,graphics,Mr. Dragonfly ENB Particle Light,1.000,,
558,+,Present,Snazzy Items for Inigo,ENB Light,graphics,Snazzy Items for Inigo,1.000,,
559,+,Present,INIGO,ENB Light,graphics,INIGO,1.000,,
560,+,Present,Serana Dialogue Add-On - Pilgrim Patch,ENB Light,quests-followers,Serana Dialogue Add-On - Pilgrim Patch,1.000,,
561,+,Present,SDA Patch Hub SE,ENB Light,graphics,SDA Patch Hub SE,1.000,,
562,+,Present,Serana Dialogue Add-On,ENB Light,quests-followers,Serana Dialogue Add-On,1.000,,
563,+,Present,Nether's Follower Framework - Legacy Settings Loader,ENB Light,quests-followers,Nether's Follower Framework - Legacy Settings Loader,1.000,,
564,+,Present,Nether's Follower Framework,ENB Light,quests-followers,Nether's Follower Framework,1.000,,
565,+,Present,Generated Voice Pack for Nether's Follower Framework,ENB Light,quests-followers,Generated Voice Pack for Nether's Follower Framework,1.000,,
566,+,Present,Better Courier,ENB Light,graphics,Better Courier,1.000,,
567,+,Present,Immersive College NPCs,ENB Light,graphics,Immersive College NPCs,1.000,,
568,+,Present,Immersive Patrols SE,ENB Light,graphics,Immersive Patrols SE,1.000,,
569,+,Present,AI Overhaul SSE - Official Patch Hub,ENB Light,graphics,AI Overhaul SSE - Official Patch Hub,1.000,,
570,+,Present,AI Overhaul SSE,ENB Light,graphics,AI Overhaul SSE,1.000,,
571,+,Present,Interesting NPCs SE (3DNPC) - Bard Fix,ENB Light,graphics,Interesting NPCs SE (3DNPC) - Bard Fix,1.000,,
572,+,Present,Proper journal entries for 3dnpcs,ENB Light,graphics,Proper journal entries for 3dnpcs,1.000,,
573,+,Present,Simple Children Wyrmstooth Update Patch,ENB Light,graphics,Simple Children Wyrmstooth Update Patch,1.000,,
574,+,Present,Simple Children Patches,ENB Light,graphics,Simple Children Patches,1.000,,
575,+,Present,Simple Children,ENB Light,graphics,Simple Children,1.000,,
576,+,Present,3dnpcs Fixes and Tweaks,ENB Light,graphics,3dnpcs Fixes and Tweaks,1.000,,
577,+,Present,Interesting NPCs (3DNPC) - Zora Romance for Women,ENB Light,graphics,Interesting NPCs (3DNPC) - Zora Romance for Women,1.000,,
578,+,Present,Interesting NPCs (3DNPC) character Zora Fairchild's voice boosted,ENB Light,graphics,Interesting NPCs (3DNPC) character Zora Fairchild's voice boosted,1.000,,
579,+,Present,Interesting NPCs (3DNPC) Script Optimisation - barbasdialoguedetect,ENB Light,quests-followers,Interesting NPCs (3DNPC) Script Optimisation - barbasdialoguedetect,1.000,,
580,+,Present,Interesting NPCs SE (3DNPC),ENB Light,graphics,Interesting NPCs SE (3DNPC),1.000,,
581,+,Present,Citizens of Tamriel - More Immersive Edit,ENB Light,graphics,Citizens of Tamriel - More Immersive Edit,1.000,,
582,+,Present,Citizens of Tamriel SE,ENB Light,graphics,Citizens of Tamriel SE,1.000,,
583,+,Present,First Person (FP) Inertia - SKSE,People & Followers,quests-followers,First Person (FP) Inertia - SKSE,1.000,,
584,+,Present,Improved Camera SE,People & Followers,quests-followers,Improved Camera SE,1.000,,
585,+,Present,Wood Chopping Camera Glitch Fix,People & Followers,quests-followers,Wood Chopping Camera Glitch Fix,1.000,,
586,+,Present,Show Player In Menus - Persistent Zoom Fix,People & Followers,quests-followers,Show Player In Menus - Persistent Zoom Fix,1.000,,
587,+,Present,Show Player In Menus,People & Followers,quests-followers,Show Player In Menus,1.000,,
588,+,Present,No Furniture Camera,People & Followers,quests-followers,No Furniture Camera,1.000,,
589,+,Present,Kill Camera Misalignment Fix,People & Followers,quests-followers,Kill Camera Misalignment Fix,1.000,,
590,+,Present,Camera Noise,People & Followers,quests-followers,Camera Noise,1.000,,
591,+,Present,SmoothCam - Intimate,People & Followers,quests-followers,SmoothCam - Intimate,1.000,,
592,+,Present,Sepia - Smoothcam preset,People & Followers,quests-followers,Sepia - Smoothcam preset,1.000,,
593,+,Present,SmoothCam,People & Followers,quests-followers,SmoothCam,1.000,,
594,+,Present,Improved Alternate Conversation Camera,People & Followers,quests-followers,Improved Alternate Conversation Camera,1.000,,
595,+,Present,True Directional Movement - Modernized Third Person Gameplay,People & Followers,quests-followers,True Directional Movement - Modernized Third Person Gameplay,1.000,,
596,+,Missing,Auto Skeleton Patch - Universal Behaviour Runtime,Camera,bugfix-utility,Weapon Switch Animation Fix - Behavior Patch Version,0.536,,
597,+,Present,Assorted Behavior Fixes,Camera,bugfix-utility,Assorted Behavior Fixes,1.000,,
598,+,Present,Vanilla Attack Annotation Fix,Camera,bugfix-utility,Vanilla Attack Annotation Fix,1.000,,
599,+,Present,Simple Wall Lean (RaySense) - More feminine Female animations,Camera,animations,Simple Wall Lean (RaySense) - More feminine Female animations,1.000,,
600,+,Present,Simple Wall Lean (RaySense),Camera,camera,Simple Wall Lean (RaySense),1.000,,
601,+,Present,Open Animation Replacer - RaySense,Camera,animations,Open Animation Replacer - RaySense,1.000,,
602,+,Present,Disable NPC stretching idle,Camera,camera,Disable NPC stretching idle,1.000,,
603,+,Present,Seamless Varied Feminine Idles OAR,Camera,camera,Seamless Varied Feminine Idles OAR,1.000,,
604,+,Present,Dynamic Female Weather Idles,Camera,camera,Dynamic Female Weather Idles,1.000,,
605,+,Present,Warming Hands,Camera,camera,Warming Hands,1.000,,
